timeStamp,label,threadName,Latency
1516797466415,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,200
1516797466256,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,359
1516797466499,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,193
1516797466620,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,160
1516797466620,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,164
1516797466648,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,193
1516797466693,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,192
1516797466784,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,160
1516797466780,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,164
1516797466821,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,168
1516797466841,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,196
1516797466876,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,199
1516797466601,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,478
1516797466885,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,200
1516797466944,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,157
1516797466944,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,164
1516797466990,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,163
1516797467037,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,195
1516797467080,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,170
1516797467101,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,155
1516797467054,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,204
1516797467108,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,161
1516797467075,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,194
1516797467085,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,189
1516797467163,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,152
1516797467251,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,159
1516797467256,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,154
1516797467269,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,157
1516797467232,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,194
1516797467251,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,194
1516797467259,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,197
1516797467269,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,196
1516797467274,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,193
1516797467315,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,161
1516797467007,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,493
1516797467410,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,156
1516797467410,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,156
1516797467426,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,160
1516797467426,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,194
1516797467476,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,152
1516797467445,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,194
1516797467456,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,194
1516797467467,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,194
1516797467500,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,161
1516797467465,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,200
1516797467567,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,154
1516797467567,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,154
1516797467586,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,159
1516797467628,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,156
1516797467620,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,194
1516797467661,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,164
1516797467639,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,192
1516797467651,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,195
1516797467661,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,194
1516797467667,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,198
1516797467721,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,155
1516797467721,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,155
1516797467746,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,157
1516797467784,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,159
1516797467825,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,160
1516797467814,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,194
1516797467831,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,195
1516797467846,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,190
1516797467876,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,162
1516797467876,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,162
1516797467855,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,192
1516797467865,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,194
1516797467904,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,157
1516797467944,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,157
1516797467987,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,159
1516797468039,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,158
1516797468039,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,158
1516797468009,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,194
1516797468027,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,188
1516797468062,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,166
1516797468037,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,198
1516797468048,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,193
1516797468060,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,195
1516797468101,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,160
1516797468146,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,158
1516797468197,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,155
1516797468197,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,157
1516797468228,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,156
1516797468203,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,194
1516797468215,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,190
1516797468262,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,167
1516797468235,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,194
1516797468241,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,212
1516797468304,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,158
1516797468256,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,208
1516797468354,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,167
1516797468352,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,169
1516797468385,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,156
1516797468429,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,158
1516797468398,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,189
1516797468405,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,194
1516797468462,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,162
1516797468429,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,199
1516797468453,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,194
1516797468464,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,193
1516797468522,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,163
1516797468522,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,163
1516797468541,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,156
1516797468588,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,178
1516797468624,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,149
1516797468588,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,199
1516797468599,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,196
1516797468628,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,192
1516797468685,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,149
1516797468685,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,152
1516797468647,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,193
1516797468697,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,155
1516797468659,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,197
1516797468773,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,168
1516797468766,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,175
1516797468788,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,195
1516797468837,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,156
1516797468795,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,198
1516797468834,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,159
1516797468852,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,153
1516797468820,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,190
1516797468840,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,200
1516797468856,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,190
1516797468941,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,154
1516797468941,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,155
1516797468993,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,147
1516797468993,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,147
1516797469006,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,157
1516797468983,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,194
1516797468993,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,190
1516797469010,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,191
1516797469040,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,195
1516797469046,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,196
1516797469095,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,152
1516797469097,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,155
1516797469140,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,152
1516797469140,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,160
1516797469164,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,153
1516797469177,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,189
1516797469184,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,189
1516797469247,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,155
1516797469202,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,200
1516797469253,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,151
1516797469236,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,193
1516797469243,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,193
1516797469292,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,163
1516797469300,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,155
1516797469317,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,156
1516797469404,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,148
1516797469403,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,149
1516797469366,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,195
1516797469373,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,193
1516797469403,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,195
1516797469455,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,159
1516797469455,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,162
1516797469473,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,144
1516797469429,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,195
1516797469436,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,195
1516797469552,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,157
1516797469552,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,163
1516797469561,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,198
1516797469566,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,193
1516797469617,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,151
1516797469614,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,154
1516797469617,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,151
1516797469598,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,197
1516797469624,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,190
1516797469632,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,203
1516797469710,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,151
1516797469715,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,153
1516797469768,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,155
1516797469768,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,155
1516797469768,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,161
1516797469759,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,195
1516797469759,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,195
1516797469795,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,196
1516797469814,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,194
1516797469861,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,155
1516797469868,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,152
1516797469835,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,197
1516797469923,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,149
1516797469923,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,154
1516797469929,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,152
1516797469954,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,195
1516797469955,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,195
1516797470020,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,145
1516797470016,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,153
1516797469991,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,195
1516797470008,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,195
1516797470072,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,153
1516797470077,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,148
1516797470081,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,144
1516797470032,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,196
1516797470166,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,158
1516797470169,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,155
1516797470149,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,192
1516797470150,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,193
1516797470226,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,151
1516797470226,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,152
1516797470226,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,152
1516797470186,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,194
1516797470204,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,193
1516797470228,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,198
1516797470324,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,152
1516797470324,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,152
1516797470378,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,152
1516797470378,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,152
1516797470343,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,192
1516797470378,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,157
1516797470341,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,195
1516797470380,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,191
1516797470397,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,192
1516797470426,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,194
1516797470476,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,158
1516797470476,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,159
1516797470530,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,152
1516797470535,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,147
1516797470530,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,153
1516797470537,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,196
1516797470535,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,209
1516797470572,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,194
1516797470589,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,192
1516797470635,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,154
1516797470635,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,154
1516797470620,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,195
1516797470683,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,155
1516797470683,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,155
1516797470683,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,156
1516797470790,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,154
1516797470790,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,155
1516797470769,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,193
1516797470769,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,195
